modelo	gan
B	6060000
B	7923333.33333333
B	10816666.6666667
B	9556666.66666667
B	7733333.33333333
B	9270000
B	6426666.66666667
B	11466666.6666667
B	10420000
B	8940000
B	8623333.33333333
B	6746666.66666667
B	8473333.33333333
B	7763333.33333333
B	9856666.66666667
B	6436666.66666667
B	11666666.6666667
B	6800000
B	9583333.33333333
B	8206666.66666667
B	9540000
B	8540000
B	7146666.66666667
B	6463333.33333333
B	10853333.3333333
B	7936666.66666667
B	11766666.6666667
B	10450000
B	10703333.3333333
B	12343333.3333333
B	9633333.33333333
B	7276666.66666667
B	10720000
B	5573333.33333333
B	9766666.66666667
B	9593333.33333333
B	9110000
B	8933333.33333333
B	9663333.33333333
B	10403333.3333333
B	9663333.33333333
B	6146666.66666667
B	8040000
B	10050000
B	11173333.3333333
B	8563333.33333333
B	7236666.66666667
B	9080000
B	7623333.33333333
B	9433333.33333333
B	4066666.66666667
B	9590000
B	11316666.6666667
B	11506666.6666667
B	9690000
B	13136666.6666667
B	9550000
B	7653333.33333333
B	8060000
B	10326666.6666667
B	12933333.3333333
B	11993333.3333333
B	10380000
B	8253333.33333333
B	8623333.33333333
B	10353333.3333333
B	8686666.66666667
B	10446666.6666667
B	11633333.3333333
B	10990000
B	9923333.33333333
B	8980000
B	11323333.3333333
B	7873333.33333333
B	8636666.66666667
B	7960000
B	7773333.33333333
B	11683333.3333333
B	8590000
B	9713333.33333333
B	10806666.6666667
B	9923333.33333333
B	7043333.33333333
B	8953333.33333333
B	7813333.33333333
B	7943333.33333333
B	10776666.6666667
B	8103333.33333333
B	9873333.33333333
B	10143333.3333333
B	8540000
B	11166666.6666667
B	8716666.66666667
B	10733333.3333333
B	9850000
B	11803333.3333333
B	10986666.6666667
B	11173333.3333333
B	10680000
B	6613333.33333333
B	4970000
B	10673333.3333333
B	11153333.3333333
B	9126666.66666667
B	7323333.33333333
B	8510000
B	5496666.66666667
B	8706666.66666667
B	7116666.66666667
B	10246666.6666667
B	10026666.6666667
B	10520000
B	6860000
B	10090000
B	10950000
B	6653333.33333333
B	12040000
B	11220000
B	9313333.33333333
B	11586666.6666667
B	9833333.33333333
B	12306666.6666667
B	10773333.3333333
B	10973333.3333333
B	8913333.33333333
B	10830000
B	7926666.66666667
B	10476666.6666667
B	7430000
B	8836666.66666667
B	9023333.33333333
B	10356666.6666667
B	10483333.3333333
B	9386666.66666667
B	9183333.33333333
B	8070000
B	8070000
B	6820000
B	9780000
B	7560000
B	9053333.33333333
B	6680000
B	9113333.33333333
B	9066666.66666667
B	8746666.66666667
B	6706666.66666667
B	10523333.3333333
B	10626666.6666667
B	9816666.66666667
B	7070000
B	6983333.33333333
B	7400000
B	11170000
B	10080000
B	6763333.33333333
B	8610000
B	10576666.6666667
B	9446666.66666667
B	8250000
B	7463333.33333333
B	12333333.3333333
B	8190000
B	12260000
B	10743333.3333333
B	8650000
B	12073333.3333333
B	10690000
B	7996666.66666667
B	9053333.33333333
B	7290000
B	9783333.33333333
B	11836666.6666667
B	8816666.66666667
B	10826666.6666667
B	9523333.33333333
B	7556666.66666667
B	7556666.66666667
B	10936666.6666667
B	9140000
B	8920000
B	6923333.33333333
B	7133333.33333333
B	7233333.33333333
B	10326666.6666667
B	8456666.66666667
B	9450000
B	8293333.33333333
B	9076666.66666667
B	11460000
B	9313333.33333333
B	9936666.66666667
B	7563333.33333333
B	9020000
B	11633333.3333333
B	9540000
B	11013333.3333333
B	9980000
B	5433333.33333333
B	7580000
B	8630000
B	10626666.6666667
B	9690000
B	8420000
B	8643333.33333333
B	10460000
B	7596666.66666667
B	10596666.6666667
B	6473333.33333333
B	8610000
B	6583333.33333333
B	9300000
B	7693333.33333333
B	7826666.66666667
B	6256666.66666667
B	8670000
B	6840000
B	8410000
B	9793333.33333333
B	10143333.3333333
B	9516666.66666667
B	10433333.3333333
B	7300000
B	10680000
B	7853333.33333333
B	9503333.33333333
B	9383333.33333333
B	10373333.3333333
B	10506666.6666667
B	7296666.66666667
B	9553333.33333333
B	5946666.66666667
B	8320000
B	9856666.66666667
B	12070000
B	6420000
B	9883333.33333333
B	11690000
B	9280000
B	7570000
B	8556666.66666667
B	11723333.3333333
B	8340000
B	8696666.66666667
B	7860000
B	10960000
B	7086666.66666667
B	7380000
B	7393333.33333333
B	9666666.66666667
B	11270000
B	6723333.33333333
B	8893333.33333333
B	7626666.66666667
B	9070000
B	6573333.33333333
B	8236666.66666667
B	9186666.66666667
B	6753333.33333333
B	9806666.66666667
B	10440000
B	7840000
B	8713333.33333333
B	8603333.33333333
B	9776666.66666667
B	6536666.66666667
B	9016666.66666667
B	5236666.66666667
B	9576666.66666667
B	10340000
B	6996666.66666667
B	9693333.33333333
B	9640000
B	9460000
B	10783333.3333333
B	6760000
B	10576666.6666667
B	6363333.33333333
B	10203333.3333333
B	9306666.66666667
B	7500000
B	8106666.66666667
B	10253333.3333333
B	10616666.6666667
B	8103333.33333333
B	7730000
B	8420000
B	7246666.66666667
B	9050000
B	8963333.33333333
B	11470000
B	9066666.66666667
B	10536666.6666667
B	8186666.66666667
B	7016666.66666667
B	10080000
B	11300000
B	7773333.33333333
B	9640000
B	6963333.33333333
B	6903333.33333333
B	9030000
B	8046666.66666667
B	11530000
B	7160000
B	6426666.66666667
B	10126666.6666667
B	11663333.3333333
B	11006666.6666667
B	6063333.33333333
B	7206666.66666667
B	9686666.66666667
B	9023333.33333333
B	8960000
B	6753333.33333333
B	9913333.33333333
B	10103333.3333333
B	7106666.66666667
B	12040000
B	10350000
B	7216666.66666667
B	9323333.33333333
B	9650000
B	11646666.6666667
B	9310000
B	9873333.33333333
B	9456666.66666667
B	7e+06
B	7220000
B	8243333.33333333
B	10350000
B	7716666.66666667
B	10016666.6666667
B	8363333.33333333
B	10226666.6666667
B	8013333.33333333
B	9553333.33333333
B	9220000
B	6660000
B	7666666.66666667
B	10946666.6666667
B	11036666.6666667
B	9870000
B	9933333.33333333
B	9460000
B	9256666.66666667
B	7426666.66666667
B	9260000
B	8220000
B	10620000
B	6156666.66666667
B	7106666.66666667
B	10513333.3333333
B	8730000
B	6386666.66666667
B	8566666.66666667
B	10376666.6666667
B	7113333.33333333
B	8780000
B	8450000
B	10843333.3333333
B	9633333.33333333
B	11076666.6666667
B	11283333.3333333
B	7456666.66666667
B	13143333.3333333
B	6533333.33333333
B	10010000
B	11986666.6666667
