Feature	Gain	Cover	Frequency
ccomisiones_mantenimiento	0.00611859713397331	0.00601879488254586	0.00509954593084178
mcomisiones_mantenimiento	0.00587708088845483	0.00727702481161996	0.00862731400628711
Visa_mfinanciacion_limite	0.00585097603320878	0.0119136631077548	0.0145302130632204
mtransferencias_emitidas	0.00558805076080301	0.0118460034198219	0.0151938526021656
Master_status	0.00548455033845451	0.0188554189807763	0.00415647921760391
ctransferencias_recibidas	0.00525688781220486	0.0143938075851716	0.0107230178134824
mtransferencias_recibidas	0.0048401303409011	0.00629239210220413	0.0119804400977995
Visa_mlimitecompra	0.00449243460511258	0.0110895042287554	0.00988473629060426
Master_mlimitecompra	0.00436058499457744	0.00670918839136815	0.0100593782745372
Visa_cconsumos	0.00406755043238105	0.00515211955440563	0.0101990918616836
mtarjeta_visa_debitos_automaticos	0.00405646433743696	0.00973355388582954	0.0110373733845616
ccallcenter_trx	0.00405037536751615	0.00852929169560981	0.00380719524973804
Master_mpagominimo	0.00402378911343162	0.00836439137906185	0.00681103737338456
tcallcenter	0.00398545958321235	0.00514490159053355	0.00286412853650017
ctransferencias_emitidas	0.00398167025750557	0.013168094633189	0.00873209919664688
mautoservicio	0.00381031362968692	0.0145561444777408	0.0172895564093608
ccaja_ahorro	0.00380979577819821	0.026209416298702	0.00806845965770171
Visa_mpagado	0.00374451516971296	0.015248802323641	0.00929095354523227
mpagomiscuentas	0.00370477340869895	0.0102168932718302	0.0104086622424031
Master_mpagospesos	0.00339882503435083	0.0155899819671161	0.0107230178134824
mdescubierto_preacordado	0.0032108410507375	0.0087433731144043	0.00300384212364652
mplazo_fijo_dolares	0.00293877374775397	0.020756232131388	0.00394690883688439
mcuenta_debitos_automaticos	0.00289818394080244	0.0069599515723475	0.00764931889626266
ccuenta_debitos_automaticos	0.002796054631887	0.0085445987139525	0.0053091163115613
Master_msaldopesos	0.00259439911469373	0.004606871672335	0.00495983234369543
Visa_mconsumototal	0.00248103591487135	0.00347484893821627	0.00628711142158575
ctarjeta_visa_debitos_automaticos	0.0024770586511239	0.00652022404126183	0.00527418791477471
mextraccion_autoservicio	0.0024119340693748	0.00574896491164197	0.0100593782745372
Master_msaldototal	0.00226322896327946	0.00297850425681351	0.00398183723367097
ccajas_consultas	0.00213163291005255	0.0135404378855296	0.00268948655256724
ctarjeta_debito_trx	0.00200680278623665	0.00799770336153675	0.0141460006985679
ctarjeta_debito	0.00176650513398512	0.00406829965912879	0.00464547677261614
Visa_status	0.00162800940655385	0.00792913270475195	0.00153684945860985
ctarjeta_master	0.00160190875175224	0.000519665982490842	0.000663639538945162
ccaja_seguridad	0.00149978399789185	0.00986469726084315	0.00258470136220747
cmobile_app_trx	0.00147406279735927	0.00193539258112326	0.00317848410757946
Visa_mconsumosdolares	0.00146805764090968	0.0025267222774311	0.00461054837582955
