fecha	verbose	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	lambda_l1	lambda_l2	ganancia	iteracion
20220419 114859	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	25	TRUE	0.246957499004028	0.997550301220195	2705	19	0.0189131569689604	0.654493257557169	70.6192310725698	13010000	63
20220419 114939	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	27	TRUE	0.289392836978123	0.995654998924254	4641	21	0.0133148532901944	0.0304880891309302	99.2437017984002	12419000	64
20220419 115312	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	557	TRUE	0.0254211454945274	0.894289227984261	16	36	0.0210979905583594	70.5537629765357	99.9737427980182	11198000	65
20220419 115419	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	112	TRUE	0.160784372781995	0.982385786579348	7980	52	0.018804258237174	0.177604039102483	60.1182709472772	12587000	66
20220419 120127	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	579	TRUE	0.0106417415481804	0.369321940572391	7079	31	0.0178530316016437	0.124290271293205	57.6957930153375	13014000	67
20220419 120226	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	136	TRUE	0.115303277030742	0.952227291350848	810	21	0.0197825523829912	0.0681410204001429	63.7929914337855	12643000	68
20220419 120304	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	56	TRUE	0.299202453118884	0.376209743223961	3026	14	0.0183543876401036	0.123071269779346	51.3226455951716	12692000	69
20220419 120327	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	124	TRUE	0.244474607681913	0.891029065032406	7997	2	0.0176951004213623	0.527110229306036	93.5872886999121	12877000	70
20220419 120531	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	156	TRUE	0.0119036920940441	0.254540934386424	7748	4	0.00833773341715745	58.5581879604071	97.7854698071773	11417000	71
20220419 120547	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	27	TRUE	0.263991278445425	0.868389333729653	7094	4	0.0190749530894233	0.259215295784482	0.0259859930282476	12570000	72
20220419 120611	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	37	TRUE	0.263197460311308	0.680294083800525	260	8	0.00834040068113203	0.0227575225183665	68.2096089050885	11959000	73
