v_cp	max_depth	min_split	minbucket	ganancia_promedio
-2	15	800	160	10006000
-2	15	800	266	10120667
-2	15	800	400	10886000
-2	15	600	1	9283333
-2	15	600	2	8259333
-2	15	600	3	8664667
-2	15	600	4	9148667
-2	15	600	5	9052000
-2	15	600	60	8800000
-2	15	600	120	9689333
-2	15	600	200	9752000
-2	15	600	300	10167333
-2	15	400	1	9188000
-2	15	400	2	7962000
-2	15	400	3	7898667
-2	15	400	4	8375333
-2	15	400	5	8291333
-2	15	400	40	6344000
-2	15	400	80	7816667
-2	15	400	133	8248000
-2	15	400	200	9244000
-2	15	200	1	9160667
-2	15	200	2	7880000
-2	15	200	3	7418000
-2	15	200	4	7262667
-2	15	200	5	7598000
-2	15	200	20	5673333
-2	15	200	40	5406000
-2	15	200	66	6529333
-2	15	200	100	6388667
-2	15	100	1	9160000
-2	15	100	2	7745333
-2	15	100	3	7569333
-2	15	100	4	7073333
-2	15	100	5	7181333
-2	15	100	10	6043333
-2	15	100	20	5363333
-2	15	100	33	4322000
-2	15	100	50	4835333
-2	15	50	1	9248667
-2	15	50	2	7770000
-2	15	50	3	7762667
-2	15	50	4	6907333
-2	15	50	5	7261333
-2	15	50	10	6306000
-2	15	50	16	5604667
-2	15	50	25	4837333
-2	15	20	1	9105333
-2	15	20	2	7574667
-2	15	20	3	7406000
-2	15	20	4	6688667
-2	15	20	5	6902667
-2	15	20	6	6582667
-2	15	20	10	5716667
-2	15	10	1	9150667
-2	15	10	2	7646667
-2	15	10	3	7566000
-2	15	10	4	6570000
-2	15	10	5	6853333
-2	15	5	1	9108000
-2	15	5	2	7612000
-2	15	5	3	7520000
-2	15	5	4	6570667
-2	15	5	5	6853333
-2	15	5	0	9108000
-2	20	1000	1	9934667
-2	20	1000	2	9316000
-2	20	1000	3	9204000
-2	20	1000	4	9335333
-2	20	1000	5	9204000
-2	20	1000	100	9898667
-2	20	1000	200	10250667
-2	20	1000	333	10938000
-2	20	1000	500	10863333
-2	20	800	1	9601333
-2	20	800	2	9146667
-2	20	800	3	8918667
-2	20	800	4	9323333
-2	20	800	5	9098667
-2	20	800	80	9113333
-2	20	800	160	10006000
-2	20	800	266	10120667
-2	20	800	400	10886000
-2	20	600	1	9210667
-2	20	600	2	8423333
-2	20	600	3	8634000
-2	20	600	4	8888000
-2	20	600	5	8057333
-2	20	600	60	8781333
-2	20	600	120	9689333
-2	20	600	200	9752000
-2	20	600	300	10167333
-2	20	400	1	8685333
-2	20	400	2	7598667
-2	20	400	3	7184000
-2	20	400	4	7698000
-2	20	400	5	7464000
-2	20	400	40	6101333
-2	20	400	80	7784000
-2	20	400	133	8248000
-2	20	400	200	9244000
-2	20	200	1	8755333
-2	20	200	2	7206000
-2	20	200	3	5850000
-2	20	200	4	5846667
-2	20	200	5	5876667
-2	20	200	20	5116667
-2	20	200	40	5098667
-2	20	200	66	6443333
-2	20	200	100	6300000
-2	20	100	1	8639333
-2	20	100	2	6694667
-2	20	100	3	5531333
-2	20	100	4	5202000
-2	20	100	5	4976000
-2	20	100	10	5045333
-2	20	100	20	4633333
-2	20	100	33	4064000
-2	20	100	50	4472000
-2	20	50	1	8663333
-2	20	50	2	6401333
-2	20	50	3	5480000
-2	20	50	4	4419333
-2	20	50	5	4445333
-2	20	50	10	4960667
-2	20	50	16	3999333
-2	20	50	25	4192667
-2	20	20	1	8232000
-2	20	20	2	5897333
-2	20	20	3	5185333
-2	20	20	4	3675333
-2	20	20	5	3191333
-2	20	20	6	3374667
-2	20	20	10	3744000
-2	20	10	1	8264667
-2	20	10	2	5852000
-2	20	10	3	4887333
-2	20	10	4	2994667
-2	20	10	5	2754667
-2	20	5	1	8255333
-2	20	5	2	5694000
-2	20	5	3	4686667
-2	20	5	4	2937333
-2	20	5	5	2754667
-2	20	5	0	8255333
-2	50	1000	1	NA
-2	50	1000	2	NA
-2	50	1000	3	NA
-2	50	1000	4	NA
-2	50	1000	5	NA
-2	50	1000	100	9898667
-2	50	1000	200	10250667
-2	50	1000	333	10938000
-2	50	1000	500	10863333
-2	50	800	1	NA
-2	50	800	2	NA
-2	50	800	3	NA
-2	50	800	4	NA
-2	50	800	5	NA
-2	50	800	80	9113333
-2	50	800	160	10006000
-2	50	800	266	10120667
-2	50	800	400	10886000
-2	50	600	1	NA
-2	50	600	2	NA
-2	50	600	3	NA
-2	50	600	4	NA
-2	50	600	5	NA
-2	50	600	60	8758667
-2	50	600	120	9689333
-2	50	600	200	9752000
-2	50	600	300	10167333
-2	50	400	1	NA
-2	50	400	2	NA
-2	50	400	3	NA
-2	50	400	4	NA
-2	50	400	5	NA
-2	50	400	40	6020667
-2	50	400	80	7784000
-2	50	400	133	8248000
-2	50	400	200	9244000
-2	50	200	1	NA
-2	50	200	2	NA
-2	50	200	3	NA
-2	50	200	4	NA
-2	50	200	5	NA
-2	50	200	20	4846667
-2	50	200	40	4968000
-2	50	200	66	6420667
-2	50	200	100	6300000
-2	50	100	1	NA
-2	50	100	2	NA
-2	50	100	3	NA
-2	50	100	4	NA
-2	50	100	5	NA
-2	50	100	10	NA
-2	50	100	20	4372000
-2	50	100	33	3884667
-2	50	100	50	4414000
-2	50	50	1	NA
-2	50	50	2	NA
-2	50	50	3	NA
-2	50	50	4	NA
-2	50	50	5	NA
-2	50	50	10	NA
-2	50	50	16	NA
-2	50	50	25	3884667
-2	50	20	1	NA
-2	50	20	2	NA
-2	50	20	3	NA
-2	50	20	4	NA
-2	50	20	5	NA
-2	50	20	6	NA
-2	50	20	10	NA
-2	50	10	1	NA
-2	50	10	2	NA
-2	50	10	3	NA
-2	50	10	4	NA
-2	50	10	5	NA
-2	50	5	1	NA
-2	50	5	2	NA
-2	50	5	3	NA
-2	50	5	4	NA
-2	50	5	5	NA
-2	50	5	0	NA
-2	100	1000	1	NA
-2	100	1000	2	NA
-2	100	1000	3	NA
-2	100	1000	4	NA
