fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220425 140833	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	479	TRUE	0.0134776389395813	0.613362311116228	7333	1022	0.0163499502574039	13435000	46
20220425 141009	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	541	TRUE	0.0114305692467325	0.609715222420286	2802	1011	0.0162285414564342	13866000	47
20220425 141146	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	486	TRUE	0.0100257282515915	0.599496866507188	3127	881	0.0163577104241985	13817000	48
20220425 141331	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	513	TRUE	0.0100311066836502	0.584075652255863	2781	1024	0.0196900711014659	13514000	49
20220425 141504	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	621	TRUE	0.010030282889803	0.609571245639237	4804	1024	0.0166264452322083	13620000	50
20220425 141632	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	437	TRUE	0.0142633447178237	0.28916740479671	2635	1011	0.0167110697163533	13524000	51
20220425 141720	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	300	TRUE	0.0210027617229133	0.248632833822011	7964	124	0.0169522134892748	13318000	52
20220425 141731	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	21	TRUE	0.173672642181884	0.602072930648161	2799	1022	0.0168296004560945	13154000	53
20220425 141755	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	125	TRUE	0.040662601761774	0.999889444221388	7996	484	0.0131708982812953	12647000	54
20220425 142016	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	312	TRUE	0.0100692419170713	0.63408801709175	485	1001	0.0169085442461294	12860000	55
20220425 142030	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	7	TRUE	0.298215220864277	0.610051597959074	2542	115	0.016559452161557	11728000	56
20220425 142040	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	30	TRUE	0.190569945425396	0.207064317315177	7981	98	0.0205721152256386	13253000	57
20220425 142052	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	50	TRUE	0.150091289475471	0.200795835787687	7213	382	0.0173872716242463	13130000	58
20220425 142101	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	40	TRUE	0.192741398247157	0.749673179293596	7992	129	0.0224648173467516	12463000	59
20220425 142216	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	494	TRUE	0.010002947723979	0.824865647210932	3086	1024	0.0155584640378397	13587000	60
20220425 142227	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	41	TRUE	0.204690836706311	0.202125051481296	7983	1024	0.020633136288005	12528000	61
20220425 142430	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	609	TRUE	0.0101448362770203	0.560971131928149	2709	567	0.0161065914337384	13965000	62
20220425 142634	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	490	TRUE	0.0103041822384947	0.533523094702111	2580	508	0.0158875902565857	13636000	63
20220425 142716	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	233	TRUE	0.0211229731531798	0.639314120684223	2892	593	0.0167411264651267	13465000	64
20220425 142832	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	414	TRUE	0.010050989731809	0.966797140412952	2737	228	0.0162010312391711	13261000	65
20220425 143008	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	587	TRUE	0.0104278370463844	0.569942876577599	7049	95	0.0161765657939783	13454000	66
20220425 143026	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	75	TRUE	0.0867886442978331	0.402007284785583	6328	1022	0.0155005174146782	13577000	67
20220425 143106	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	177	TRUE	0.0414015979069437	0.42635867602064	2846	35	0.0143383946074676	13194000	68
20220425 143224	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	488	TRUE	0.0102580476155927	0.822040960213073	2524	59	0.0210459162175011	13351000	69
20220425 143441	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	960	TRUE	0.0101017211441863	0.200885130764124	1828	141	0.01685734019989	13572000	70
20220425 143540	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	328	TRUE	0.0188346724167357	0.578750437586568	5469	716	0.0151697204857978	13554000	71
20220425 143705	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	407	TRUE	0.0100689376976316	0.814399312563194	2609	647	0.0143071521485359	13584000	72
20220425 143916	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	600	TRUE	0.0100611215581373	0.548991761818135	1953	59	0.0194023264669886	13642000	73
